"","X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"51159",51159,0,0.000266069,47,0,0.00217118,8750,6,0,0,0,3
"75541",75541,0,0.233763892,69,1,0.23073432,11016,11,0,1,0,0
"39098",39098,0,0.627476344,58,1,0.455647828,13606,16,0,3,0,2
"44553",44553,0,0.712316668,58,0,0.884836141,5400,16,0,2,0,0
"86557",86557,0,0.377322461,31,0,0.326268465,4670,11,0,1,0,1
"36528",36528,0,0.65087211,58,1,0.655409909,4500,23,0,1,0,0
"72804",72804,0,0.200540642,50,0,0.103766248,9000,16,0,0,0,0
"146031",146031,0,0.779220779,41,1,0.370124481,3614,10,0,1,0,3
"108467",108467,0,0,36,0,0.401021995,4500,12,0,2,0,2
"136401",136401,0,0.672699634,64,1,0.369583849,10500,9,0,1,0,0
"31865",31865,1,0.9999999,64,1,956,NA,4,1,1,0,0
"99520",99520,1,0.776474866,44,0,0.287359023,4255,6,0,0,0,0
"57424",57424,1,1.121756487,54,0,0.048167222,3300,1,4,0,1,3
"110576",110576,0,0.022093923,89,0,0.005829413,9777,9,0,0,0,0
"55560",55560,0,1.094940662,46,2,0.334666257,3250,12,1,1,1,1
"133519",133519,0,0.98520074,38,0,0.107435012,5500,3,0,0,0,0
"44043",44043,0,0.11788705,88,0,0.74766098,3633,22,0,2,0,0
"114035",114035,0,0.1591817,67,1,0.24915017,5000,8,0,1,0,0
"114525",114525,0,0.007174216,59,0,0.519675203,1600,12,0,1,0,0
"141713",141713,0,0.05468037,43,0,0.472133356,5938,15,0,3,0,3
"24685",24685,0,0.466553345,27,0,260,NA,3,0,0,0,0
"110089",110089,0,0.903495468,53,0,0.366452924,15750,14,0,2,0,3
"98706",98706,0,0.152506556,54,0,0.549447266,3346,9,0,3,0,0
"85310",85310,0,0.800066644,39,0,2125,NA,6,0,2,0,0
"23228",23228,0,0.034736165,53,0,0.009571139,5432,8,0,0,0,0
"72401",72401,0,0,31,0,0.455665025,2029,5,0,1,0,0
"117760",117760,0,0,57,0,0.002217295,450,2,0,0,0,0
"9499",9499,0,0.626059232,58,0,0.859134415,4805,11,0,2,0,1
"82950",82950,0,0.9999999,41,0,0.183696259,1790,2,0,0,0,1
"131827",131827,0,0.108754867,68,0,0.134580784,5557,13,0,1,0,0
"52661",52661,0,0.990868661,57,0,1741,1,10,0,1,0,0
"29580",29580,0,0.164780053,54,0,0.249947928,4800,11,0,0,0,3
"56525",56525,0,0.179550751,65,1,0.385473553,12817,12,0,4,0,2
"58881",58881,0,0.02384903,51,0,0.222515779,6812,10,0,2,0,0
"53978",53978,0,0.28389209,66,0,0.385087845,7000,8,0,2,0,2
"53044",53044,0,0.013109106,50,0,635,NA,14,0,1,1,0
"80639",80639,0,0.053427045,76,0,0.017736214,3100,3,0,0,0,1
"30646",30646,0,0.000367813,85,0,2103,NA,14,0,2,1,0
"7287",7287,0,0,50,2,0.704372482,6700,15,0,2,0,2
"77177",77177,0,0.03832837,76,0,0.150339864,2500,12,0,1,0,0
"15131",15131,0,0.038488034,79,0,0.00696993,100000,4,0,0,0,0
"32936",32936,0,0,30,1,291,1,3,0,0,0,0
"123409",123409,0,0.066831213,29,0,0.104779044,5000,6,0,0,0,0
"78131",78131,1,0.557848072,57,2,0.314969121,10200,10,0,1,0,1
"42464",42464,0,0.133346816,61,0,1652,NA,16,0,1,0,0
"18586",18586,0,0.846244593,44,0,0.431350114,4369,6,1,1,0,3
"97292",97292,0,0,62,0,0.603628118,6614,8,0,2,0,0
"75194",75194,0,0.031648766,73,0,0.003839026,7553,7,0,0,0,0
"17145",17145,0,0.486740283,54,0,0.352112676,2200,7,0,1,0,0
"39069",39069,0,1.459027315,46,0,0.023991276,2750,2,0,0,2,1
"120866",120866,0,0.013320682,35,0,0.253116012,8343,7,0,1,0,3
"32729",32729,0,0.360842415,72,0,0.36185444,5866,4,0,2,0,0
"103333",103333,1,0.752415861,39,3,0.76519337,2533,3,0,2,0,2
"115486",115486,0,0.685183809,53,1,0.529852899,6933,18,0,1,0,2
"121714",121714,0,0.141092945,56,0,4949,NA,4,0,2,0,NA
"39561",39561,0,0,44,0,0,NA,2,0,0,0,0
"62230",62230,0,1.449378496,70,0,1.03119688,10000,12,0,4,0,0
"2037",2037,0,0.640208437,39,0,2441,NA,7,0,1,0,0
"147164",147164,0,0.259842047,34,1,0.482547993,4583,9,0,1,0,3
"94031",94031,0,0.9999999,43,0,0.291593032,3960,4,0,0,0,1
"131419",131419,0,0.30321742,63,0,0.225445582,15821,9,0,1,0,0
"113957",113957,0,0.662789511,43,1,969,NA,5,0,0,1,1
"21658",21658,1,0.306378022,76,6,122,NA,11,1,0,1,NA
"82498",82498,0,0.161304999,70,0,0.346353819,7500,9,0,2,0,0
"98786",98786,0,0.176212674,46,0,0.347685857,6200,14,0,2,0,1
"105830",105830,0,0.007950602,65,0,0.49194042,4900,5,0,1,0,0
"40300",40300,0,0.166671442,70,0,0.215781847,7590,8,0,2,0,0
"48673",48673,0,0.001916053,47,0,0.150339476,3092,4,0,0,0,0
"139223",139223,0,0.9999999,42,0,0.084305232,3000,1,0,0,0,1
"135259",135259,0,0.039133864,78,0,45,NA,6,0,0,0,0
"8295",8295,0,0.107287794,49,0,0.421722336,4400,10,0,2,0,1
"47785",47785,0,0.186159183,43,0,0.047658724,6000,10,0,0,0,0
"105757",105757,0,0.46340711,57,0,0.654874063,5200,6,0,1,0,3
"74537",74537,0,0.133143343,50,0,0.653103929,4300,9,0,2,0,3
"39677",39677,0,0.329002591,75,0,1.091304348,459,8,0,0,0,0
"99182",99182,0,0.029666768,42,0,1.06311963,9077,10,0,1,0,2
"107306",107306,0,0.199977921,44,0,0.934162556,4662,23,0,1,0,2
"54249",54249,1,0.831460674,30,4,0.160946351,3000,9,3,0,1,0
"60992",60992,0,5451,39,0,0.734194739,6500,4,0,1,0,1
"126290",126290,0,0,68,0,0.677182848,4500,15,0,1,0,0
"86678",86678,0,0.008391121,71,0,0.411646586,4481,9,0,1,0,0
"49888",49888,1,0.107586019,67,0,3233,0,7,0,1,0,0
"96327",96327,0,0.261390857,48,1,0.386722655,5000,13,0,1,0,0
"141321",141321,0,0.933033483,27,1,0.11772057,4000,4,0,0,0,1
"105439",105439,0,0.541698576,74,0,2775,NA,15,0,3,0,0
"30575",30575,0,0.12566434,51,0,0.205754853,15916,9,0,2,0,2
"66361",66361,0,0.588238457,40,1,0.472623393,6300,9,1,2,0,5
"144952",144952,0,0.245625174,35,0,0.087464789,7099,5,0,0,0,2
"65085",65085,0,0.522397549,45,0,0.494819124,5500,11,0,1,0,0
"126573",126573,0,0.486483784,33,0,0.345694273,4853,10,0,1,0,1
"127573",127573,1,0.007101896,82,0,52.5,1,9,0,0,0,0
"147174",147174,0,0.06317206,67,0,0.092685178,13000,10,0,2,0,0
"138068",138068,0,0.002144865,54,0,0.141654034,11873,6,0,2,0,1
"56065",56065,0,0.03270641,61,3,0.396160558,4583,17,0,2,0,0
"72824",72824,0,0,59,0,3850,NA,16,0,3,0,0
"36402",36402,1,0.924624419,46,3,0.552141802,3384,7,0,0,1,0
"113570",113570,0,0.081136105,58,0,2090,NA,17,0,1,0,0
"93132",93132,0,0.063771905,50,0,0.175401995,19651,20,0,1,7,2
"113712",113712,0,0.009327716,41,0,0.673525037,4033,8,0,1,0,0
